match_id,batter,batting_team,venue,date,batsman_runs,balls_faced,rolling_runs_avg,venue_avg,bowling_team,opp_avg,career_avg
548346,A Ashish Reddy,Deccan Chargers,Wankhede Stadium,2012-04-29,20,20,0.0,0.0,Mumbai Indians,0.0,0.0
548352,A Ashish Reddy,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",2012-05-04,6,6,20.0,0.0,Chennai Super Kings,0.0,20.0
548359,A Ashish Reddy,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",2012-05-08,16,16,13.0,0.0,Kings XI Punjab,0.0,13.0
548373,A Ashish Reddy,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",2012-05-18,20,8,14.0,16.0,Rajasthan Royals,0.0,14.0
548376,A Ashish Reddy,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",2012-05-20,8,10,15.5,18.0,Royal Challengers Bangalore,0.0,15.5
598000,A Ashish Reddy,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2013-04-05,14,8,14.0,14.666666666666666,Pune Warriors,0.0,14.0
598004,A Ashish Reddy,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2013-04-07,28,24,12.8,14.5,Royal Challengers Bangalore,8.0,14.0
598048,A Ashish Reddy,Sunrisers Hyderabad,M Chinnaswamy Stadium,2013-04-09,6,8,17.2,0.0,Royal Challengers Bangalore,18.0,16.0
598010,A Ashish Reddy,Sunrisers Hyderabad,Feroz Shah Kotla,2013-04-12,32,18,15.2,0.0,Delhi Daredevils,0.0,14.75
598013,A Ashish Reddy,Sunrisers Hyderabad,Eden Gardens,2013-04-14,8,10,17.6,0.0,Kolkata Knight Riders,0.0,16.666666666666668
598018,A Ashish Reddy,Sunrisers Hyderabad,Maharashtra Cricket Association Stadium,2013-04-17,38,30,17.6,0.0,Pune Warriors,14.0,15.8
598021,A Ashish Reddy,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2013-04-19,14,14,22.4,17.2,Kings XI Punjab,16.0,17.818181818181817
598030,A Ashish Reddy,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk",2013-04-25,72,32,19.6,6.0,Chennai Super Kings,6.0,17.5
598032,A Ashish Reddy,Sunrisers Hyderabad,Sawai Mansingh Stadium,2013-04-27,28,22,32.8,0.0,Rajasthan Royals,20.0,21.692307692307693
598044,A Ashish Reddy,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2013-05-04,10,14,32.0,16.666666666666668,Delhi Daredevils,32.0,22.142857142857142
829727,A Ashish Reddy,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2015-04-16,26,18,32.4,0.0,Rajasthan Royals,24.0,21.333333333333332
829731,A Ashish Reddy,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2015-04-18,30,16,30.0,26.0,Delhi Daredevils,21.0,21.625
829759,A Ashish Reddy,Sunrisers Hyderabad,"Punjab Cricket Association Stadium, Mohali",2015-04-27,44,16,33.2,0.0,Kings XI Punjab,15.0,22.11764705882353
829773,A Ashish Reddy,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2015-05-02,12,12,27.6,15.714285714285714,Chennai Super Kings,39.0,23.333333333333332
829815,A Ashish Reddy,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2015-05-17,34,30,24.4,15.25,Mumbai Indians,20.0,22.736842105263158
980907,A Ashish Reddy,Sunrisers Hyderabad,M Chinnaswamy Stadium,2016-04-12,52,34,29.2,6.0,Royal Challengers Bangalore,14.0,23.3
980915,A Ashish Reddy,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2016-04-16,26,18,34.4,17.333333333333332,Kolkata Knight Riders,8.0,24.666666666666668
980953,A Ashish Reddy,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2016-04-30,4,6,33.6,18.2,Royal Challengers Bangalore,23.5,24.727272727272727
1304050,A Badoni,Lucknow Super Giants,"Wankhede Stadium, Mumbai",2022-03-28,108,84,0.0,0.0,Gujarat Titans,0.0,0.0
1304053,A Badoni,Lucknow Super Giants,"Brabourne Stadium, Mumbai",2022-03-31,38,28,108.0,0.0,Chennai Super Kings,0.0,108.0
1304058,A Badoni,Lucknow Super Giants,"Dr DY Patil Sports Academy, Mumbai",2022-04-04,38,26,73.0,0.0,Sunrisers Hyderabad,0.0,73.0
1304061,A Badoni,Lucknow Super Giants,"Dr DY Patil Sports Academy, Mumbai",2022-04-07,20,6,61.333333333333336,38.0,Delhi Capitals,0.0,61.333333333333336
1304066,A Badoni,Lucknow Super Giants,"Wankhede Stadium, Mumbai",2022-04-10,10,14,51.0,108.0,Rajasthan Royals,0.0,51.0
1304077,A Badoni,Lucknow Super Giants,"Dr DY Patil Sports Academy, Mumbai",2022-04-19,26,26,42.8,29.0,Royal Challengers Bangalore,0.0,42.8
1304083,A Badoni,Lucknow Super Giants,"Wankhede Stadium, Mumbai",2022-04-24,28,22,26.4,59.0,Mumbai Indians,0.0,40.0
