match_id,batter,runs,balls_faced,got_out,strike_rate,avg_runs_last_5,batting_team,bowling_team,inning,target_runs
548346,A Ashish Reddy,10,10,1,100.0,10.0,Deccan Chargers,Mumbai Indians,1,3.0
548352,A Ashish Reddy,3,3,1,100.0,6.5,Deccan Chargers,Chennai Super Kings,2,8.0
548359,A Ashish Reddy,8,8,1,100.0,7.0,Deccan Chargers,Kings XI Punjab,2,10.0
548373,A Ashish Reddy,10,4,0,250.0,7.75,Deccan Chargers,Rajasthan Royals,2,4.0
548376,A Ashish Reddy,4,5,1,80.0,7.0,Deccan Chargers,Royal Challengers Bangalore,1,7.0
598000,A Ashish Reddy,7,4,0,175.0,6.4,Sunrisers Hyderabad,Pune Warriors,1,14.0
598004,A Ashish Reddy,14,12,1,116.66666666666667,8.6,Sunrisers Hyderabad,Royal Challengers Bangalore,2,16.0
598010,A Ashish Reddy,16,9,1,177.77777777777777,10.2,Sunrisers Hyderabad,Delhi Daredevils,2,4.0
598013,A Ashish Reddy,4,5,1,80.0,9.0,Sunrisers Hyderabad,Kolkata Knight Riders,2,19.0
598018,A Ashish Reddy,19,15,0,126.66666666666666,12.0,Sunrisers Hyderabad,Pune Warriors,1,7.0
598021,A Ashish Reddy,7,7,0,100.0,12.0,Sunrisers Hyderabad,Kings XI Punjab,2,36.0
598030,A Ashish Reddy,36,16,0,225.0,16.4,Sunrisers Hyderabad,Chennai Super Kings,1,14.0
598032,A Ashish Reddy,14,11,1,127.27272727272727,16.0,Sunrisers Hyderabad,Rajasthan Royals,1,5.0
598044,A Ashish Reddy,5,7,1,71.42857142857143,16.2,Sunrisers Hyderabad,Delhi Daredevils,2,3.0
598048,A Ashish Reddy,3,4,1,75.0,13.0,Sunrisers Hyderabad,Royal Challengers Bangalore,1,13.0
829727,A Ashish Reddy,13,9,0,144.44444444444443,14.2,Sunrisers Hyderabad,Rajasthan Royals,1,15.0
829731,A Ashish Reddy,15,8,1,187.5,10.0,Sunrisers Hyderabad,Delhi Daredevils,2,22.0
829759,A Ashish Reddy,22,8,0,275.0,11.6,Sunrisers Hyderabad,Kings XI Punjab,1,6.0
829773,A Ashish Reddy,6,6,1,100.0,11.8,Sunrisers Hyderabad,Chennai Super Kings,1,17.0
829815,A Ashish Reddy,17,15,1,113.33333333333333,14.6,Sunrisers Hyderabad,Mumbai Indians,1,32.0
980907,A Ashish Reddy,32,18,1,177.77777777777777,18.4,Sunrisers Hyderabad,Royal Challengers Bangalore,2,13.0
980915,A Ashish Reddy,13,9,1,144.44444444444443,18.0,Sunrisers Hyderabad,Kolkata Knight Riders,1,2.0
1304050,A Badoni,54,42,1,128.57142857142858,54.0,Lucknow Super Giants,Gujarat Titans,1,19.0
1304053,A Badoni,19,14,0,135.71428571428572,36.5,Lucknow Super Giants,Chennai Super Kings,2,19.0
1304058,A Badoni,19,13,1,146.15384615384613,30.666666666666668,Lucknow Super Giants,Sunrisers Hyderabad,1,10.0
1304061,A Badoni,10,3,0,333.33333333333337,25.5,Lucknow Super Giants,Delhi Capitals,2,5.0
1304066,A Badoni,5,7,1,71.42857142857143,21.4,Lucknow Super Giants,Rajasthan Royals,2,13.0
1304077,A Badoni,13,13,1,100.0,13.2,Lucknow Super Giants,Royal Challengers Bangalore,2,14.0
1304083,A Badoni,14,11,1,127.27272727272727,12.2,Lucknow Super Giants,Mumbai Indians,1,4.0
1304088,A Badoni,4,4,1,100.0,9.2,Lucknow Super Giants,Punjab Kings,1,15.0
1304099,A Badoni,15,19,1,78.94736842105263,10.2,Lucknow Super Giants,Kolkata Knight Riders,1,8.0
1304103,A Badoni,8,12,1,66.66666666666666,10.8,Lucknow Super Giants,Gujarat Titans,2,0.0
1304109,A Badoni,0,1,1,0.0,8.2,Lucknow Super Giants,Rajasthan Royals,2,18.0
1359477,A Badoni,18,9,1,200.0,9.0,Lucknow Super Giants,Delhi Capitals,1,23.0
1359480,A Badoni,23,19,1,121.05263157894737,12.8,Lucknow Super Giants,Chennai Super Kings,2,30.0
1359489,A Badoni,30,29,1,103.44827586206897,15.8,Lucknow Super Giants,Royal Challengers Bangalore,2,5.0
1359495,A Badoni,5,7,0,71.42857142857143,15.2,Lucknow Super Giants,Punjab Kings,1,1.0
1359500,A Badoni,1,4,1,25.0,15.4,Lucknow Super Giants,Rajasthan Royals,1,8.0
1359504,A Badoni,8,6,0,133.33333333333331,13.4,Lucknow Super Giants,Gujarat Titans,2,43.0
1359512,A Badoni,43,25,1,172.0,17.4,Lucknow Super Giants,Punjab Kings,1,4.0
1359517,A Badoni,4,11,1,36.36363636363637,12.2,Lucknow Super Giants,Royal Challengers Bangalore,2,59.0
1359519,A Badoni,59,35,0,168.57142857142858,23.0,Lucknow Super Giants,Chennai Super Kings,1,21.0
1359525,A Badoni,21,12,1,175.0,27.0,Lucknow Super Giants,Gujarat Titans,2,25.0
1359542,A Badoni,25,22,1,113.63636363636364,30.4,Lucknow Super Giants,Kolkata Knight Riders,1,1.0
1370351,A Badoni,1,7,1,14.285714285714285,22.0,Lucknow Super Giants,Mumbai Indians,2,1.0
1422122,A Badoni,1,5,1,20.0,21.4,Lucknow Super Giants,Rajasthan Royals,2,8.0
1422129,A Badoni,8,10,1,80.0,11.2,Lucknow Super Giants,Punjab Kings,1,0.0
1422133,A Badoni,0,3,1,0.0,7.0,Lucknow Super Giants,Royal Challengers Bengaluru,1,20.0
1422139,A Badoni,20,12,1,166.66666666666669,6.0,Lucknow Super Giants,Gujarat Titans,1,55.0
1426264,A Badoni,55,38,0,144.73684210526315,16.8,Lucknow Super Giants,Delhi Capitals,1,29.0
1426266,A Badoni,29,27,1,107.40740740740742,22.4,Lucknow Super Giants,Kolkata Knight Riders,1,18.0
1426282,A Badoni,18,15,0,120.0,24.4,Lucknow Super Giants,Rajasthan Royals,1,6.0
1426286,A Badoni,6,6,1,100.0,25.6,Lucknow Super Giants,Mumbai Indians,2,15.0
1426292,A Badoni,15,13,1,115.38461538461537,24.6,Lucknow Super Giants,Kolkata Knight Riders,2,55.0
1426295,A Badoni,55,32,0,171.875,24.6,Lucknow Super Giants,Sunrisers Hyderabad,1,6.0
1426302,A Badoni,6,9,1,66.66666666666666,20.0,Lucknow Super Giants,Delhi Capitals,2,22.0
548373,A Chandila,0,1,1,0.0,0.0,Rajasthan Royals,Deccan Chargers,1,4.0
336010,A Chopra,2,5,1,40.0,2.0,Kolkata Knight Riders,Royal Challengers Bangalore,1,24.0
336014,A Chopra,24,25,1,96.0,13.0,Kolkata Knight Riders,Deccan Chargers,1,13.0
336017,A Chopra,13,18,1,72.22222222222221,13.0,Kolkata Knight Riders,Delhi Daredevils,1,1.0
336021,A Chopra,1,4,0,25.0,10.0,Kolkata Knight Riders,Mumbai Indians,1,2.0
336035,A Chopra,2,3,1,66.66666666666666,8.4,Kolkata Knight Riders,Kings XI Punjab,2,11.0
1082591,A Choudhary,6,2,1,300.0,6.0,Royal Challengers Bangalore,Sunrisers Hyderabad,2,15.0
1082621,A Choudhary,15,12,0,125.0,10.5,Royal Challengers Bangalore,Gujarat Lions,1,4.0
392181,A Flintoff,24,25,1,96.0,24.0,Chennai Super Kings,Mumbai Indians,2,22.0
392185,A Flintoff,22,14,0,157.14285714285714,23.0,Chennai Super Kings,Royal Challengers Bangalore,1,16.0
336006,A Kumble,3,7,0,42.857142857142854,3.0,Royal Challengers Bangalore,Kings XI Punjab,1,0.0
336016,A Kumble,0,1,0,0.0,1.5,Royal Challengers Bangalore,Kings XI Punjab,1,8.0
336023,A Kumble,8,8,1,100.0,3.6666666666666665,Royal Challengers Bangalore,Rajasthan Royals,2,2.0
336029,A Kumble,2,1,0,200.0,3.25,Royal Challengers Bangalore,Chennai Super Kings,1,1.0
392185,A Kumble,1,5,0,20.0,2.8,Royal Challengers Bangalore,Chennai Super Kings,2,1.0
392188,A Kumble,1,1,0,100.0,2.4,Royal Challengers Bangalore,Deccan Chargers,2,5.0
392191,A Kumble,5,3,0,166.66666666666669,3.4,Royal Challengers Bangalore,Kings XI Punjab,1,1.0
392204,A Kumble,1,4,1,25.0,2.0,Royal Challengers Bangalore,Kings XI Punjab,1,7.0
392218,A Kumble,7,6,0,116.66666666666667,3.0,Royal Challengers Bangalore,Mumbai Indians,2,1.0
392239,A Kumble,1,1,0,100.0,3.0,Royal Challengers Bangalore,Deccan Chargers,2,1.0
419128,A Kumble,1,1,0,100.0,3.0,Royal Challengers Bangalore,Delhi Daredevils,2,1.0
419140,A Kumble,1,1,0,100.0,2.2,Royal Challengers Bangalore,Delhi Daredevils,2,2.0
419151,A Kumble,2,4,0,50.0,2.4,Royal Challengers Bangalore,Deccan Chargers,2,1.0
419157,A Kumble,1,3,0,33.33333333333333,1.2,Royal Challengers Bangalore,Mumbai Indians,2,1.0
1304050,A Manohar,15,7,0,214.28571428571428,15.0,Gujarat Titans,Lucknow Super Giants,2,1.0
1304056,A Manohar,1,2,1,50.0,8.0,Gujarat Titans,Delhi Capitals,1,35.0
1304067,A Manohar,35,22,1,159.0909090909091,17.0,Gujarat Titans,Sunrisers Hyderabad,1,43.0
1304070,A Manohar,43,29,1,148.27586206896552,23.5,Gujarat Titans,Rajasthan Royals,1,12.0
